team,pi_r_h,pi_r_a,pi_overall
Arsenal,1.1239616288431802,0.8628946273898892,0.9934281281165347
Aston Villa,0.6533375060848592,0.3643393553280242,0.5088384307064417
Bournemouth,0.3905730811255567,0.23897070921125982,0.31477189516840826
Brentford,0.3786271284871109,0.3258880835697394,0.35225760602842515
Brighton,0.42681227139514744,0.36388272354270335,0.3953474974689254
Burnley,-0.3135527722409312,-0.2752564195131331,-0.29440459587703216
Cardiff,-0.24452414712242168,-0.24319407303039745,-0.24385911007640956
Chelsea,0.6819437770867262,0.4719649263631474,0.5769543517249368
Crystal Palace,0.4265359328446142,0.37742795658232237,0.40198194471346826
Everton,0.39861881109320396,0.19100458169053028,0.2948116963918671
Fulham,0.2390181784345008,0.25547701958842084,0.24724759901146082
Huddersfield,-0.5988426262871422,-0.6532123888671435,-0.6260275075771429
Hull,-0.34953343872401066,-0.5637416853768773,-0.456637562050444
Ipswich,-0.4099903927687858,-0.29279247659539204,-0.3513914346820889
Leeds,-0.263859085672474,-0.2698211451725298,-0.2668401154225019
Leicester,-0.286759746717001,-0.4180281992108795,-0.35239397296394026
Liverpool,1.230060396883304,0.831663471912379,1.0308619343978416
Luton,-0.24145134137151103,-0.29565483836469475,-0.2685530898681029
Man City,1.2344787133772206,0.911885013719443,1.073181863548332
Man United,0.2901366075583226,0.061302955557693085,0.17571978155800785
Middlesbrough,-0.3088399799384154,-0.37589528308411513,-0.34236763151126526
Newcastle,0.8209353371112942,0.4139313815932047,0.6174333593522494
Norwich,-0.6819618684796087,-0.794523975285127,-0.7382429218823678
Nott'm Forest,0.37959734082442254,0.23902194190770612,0.3093096413660643
QPR,-0.2798227753081808,-0.4404700889815818,-0.3601464321448813
Sheffield United,-0.6635557039845752,-0.726080922332633,-0.6948183131586041
Southampton,-0.6084786196695035,-0.6792700654422978,-0.6438743425559006
Stoke,-0.18347676253979664,-0.37407762978063713,-0.2787771961602169
Sunderland,-0.44523759629773296,-0.5333495464351807,-0.48929357136645685
Swansea,-0.19002459404316693,-0.3936726644374887,-0.29184862924032784
Tottenham,0.22834189251128928,0.00825740545775911,0.11829964898452419
Watford,-0.44702362532210094,-0.5166814592497826,-0.48185254228594177
West Brom,-0.321661128025407,-0.40437525384394296,-0.36301819093467497
West Ham,0.14078046845015108,-0.0024482178925053083,0.06916612527882288
Wolves,0.11464446852005619,0.014826843363927832,0.06473565594199202
